trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
256,False,"{'a': 0.8, 'e': 0.28671520963195546}",25,5,35.83067828745432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.8, 'e': 0.2819215663564944}",20,0,-46.06587561535669,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
258,False,"{'a': 0.8, 'e': 0.2771208750565576}",20,3,-7.459772877890562,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
259,False,"{'a': 0.8, 'e': 0.272313255749178}",30,16,-18.506369332057023,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
260,False,"{'a': 0.8, 'e': 0.26749882862458735}",20,15,8.885915277356348,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.8, 'e': 0.26267771404321355}",20,0,-45.135627252970394,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
262,False,"{'a': 0.8, 'e': 0.2578500325326696}",25,20,9.378350195267407,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.8, 'e': 0.25301590478474223}",20,0,19.67518546381867,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.8, 'e': 0.2481754516523729}",30,16,3.386710262597413,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.8, 'e': 0.24332879414663827}",25,11,26.608065708017723,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.8, 'e': 0.23847605343372313}",20,10,-23.379761394681516,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
267,False,"{'a': 0.8, 'e': 0.23361735083189297}",25,9,-54.36051830783225,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
268,False,"{'a': 0.8, 'e': 0.22875280780845939}",20,12,-23.690094217059745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
269,False,"{'a': 0.8, 'e': 0.22388254597674498}",25,13,-39.98267651524725,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
270,False,"{'a': 0.8, 'e': 0.2190066870930415}",25,3,-26.647366247342863,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
271,False,"{'a': 0.8, 'e': 0.21412535305356747}",20,8,1.2339263943246217,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
272,False,"{'a': 0.8, 'e': 0.20923866589141926}",25,0,-0.7853266536423766,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
273,False,"{'a': 0.8, 'e': 0.2043467477735218}",25,15,-19.017295949333324,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
274,False,"{'a': 0.8, 'e': 0.19944972099757285}",25,0,-51.945215966538164,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
275,False,"{'a': 0.8, 'e': 0.19454770798898718}",25,3,-9.095001443491498,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
276,False,"{'a': 0.8, 'e': 0.18964083129783424}",25,11,22.66889847028241,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.8, 'e': 0.1847292135957762}",25,7,18.193599257549746,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.8, 'e': 0.17981297767299934}",25,12,-11.663559736574356,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
279,False,"{'a': 0.8, 'e': 0.17489224643514614}",30,17,-35.03315434620256,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
280,False,"{'a': 0.8, 'e': 0.16996714290024081}",30,23,14.927449737446144,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.8, 'e': 0.16503779019561562}",20,12,15.49854592177421,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.8, 'e': 0.16010431155483126}",30,0,54.14883685715077,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
283,False,"{'a': 0.8, 'e': 0.15516683031459658}",20,6,-20.012633031293046,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
284,False,"{'a': 0.8, 'e': 0.15022546991168584}",20,0,3.21164192594523,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
285,False,"{'a': 0.8, 'e': 0.14528035387985133}",25,11,-37.09990281137617,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
286,False,"{'a': 0.8, 'e': 0.1403316058467367}",30,20,-1.45699020202919,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
287,False,"{'a': 0.8, 'e': 0.13537934953078465}",25,17,-7.653469090264936,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
288,False,"{'a': 0.8, 'e': 0.13042370873814554}",25,14,11.554293401124319,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.8, 'e': 0.12546480735958065}",25,9,-42.28001532077058,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
290,False,"{'a': 0.8, 'e': 0.1205027693673666}",25,16,-47.935598353723485,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
291,False,"{'a': 0.8, 'e': 0.11553771881219435}",30,16,23.21869901695899,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.8, 'e': 0.11056977982006957}",30,11,-18.109450291291726,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
293,False,"{'a': 0.8, 'e': 0.10559907658920793}",25,0,26.794967500366038,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
294,False,"{'a': 0.8, 'e': 0.10062573338693172}",20,6,21.939785689240804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.8, 'e': 0.09564987454656154}",25,18,13.931632662475076,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.8, 'e': 0.09067162446430967}",20,0,33.81657324135167,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
297,False,"{'a': 0.8, 'e': 0.08569110759616845}",20,10,17.89693170627234,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.8, 'e': 0.08070844845480062}",20,2,27.9324879981413,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
